id_municipio,ano,incremento,floresta
1200500,2014,54.5,22662.3
1200500,2015,43.3,22742.4
1200500,2016,57.9,22675.9
1200500,2017,37.7,22327.6
1200500,2018,54.8,3581.7
1200500,2019,83.1,22510.5
1200500,2020,77.5,22432.5
1200609,2014,32.1,19337.4
1200609,2015,4.0,19111.1
1200609,2016,14.0,19387.0
1200609,2017,13.3,19577.2
1200609,2018,48.4,19524.7
1200609,2019,70.6,19454.4
1200609,2020,46.3,19408.2
1200708,2014,19.0,4175.2
1200708,2015,18.3,4157.9
1200708,2016,34.0,4114.8
1200708,2017,18.8,4105.1
1200708,2018,26.4,3907.7
1200708,2019,62.3,4012.9
1200708,2020,37.4,3975.4
1200807,2014,15.9,1390.5
1200807,2015,8.3,1349.0
1200807,2016,16.0,1378.3
1200807,2017,12.2,1366.1
1200807,2018,14.1,1354.6
1200807,2019,23.6,1331.0
1200807,2020,24.1,1306.9
1300029,2014,6.2,5443.4
1300029,2015,0.6,5415.1
1300029,2016,4.1,2794.1
1300029,2017,4.3,5438.8
1300029,2018,5.8,5155.4
1300029,2019,2.9,5463.3
1300029,2020,5.5,5502.5
1300060,2014,0.5,3646.5
1300060,2015,0.6,2993.1
1300060,2016,0.2,4351.0
1300060,2017,0.6,4350.2
1300060,2018,0.4,1919.7
1300060,2019,0.0,3313.5
1300060,2020,0.2,4332.0
1300086,2014,0.6,1998.4
1300086,2015,1.0,1764.7
1300086,2016,0.0,2016.9
1300086,2017,1.0,2017.0
1300086,2018,0.3,1905.6
1300086,2019,0.4,1999.9
1300086,2020,0.7,2014.0
1300102,2014,0.7,4547.8
1300102,2015,0.6,4190.2
1300102,2016,0.4,4674.1
1300102,2017,0.2,4692.9
1300102,2018,0.1,4434.1
1300102,2019,0.0,4692.9
1300102,2020,0.3,4649.0
1300144,2014,80.1,51566.7
1300144,2015,107.2,51532.5
1300144,2016,161.8,51370.7
1300144,2017,170.0,51200.6
1300144,2018,161.7,51038.9
1300144,2019,288.7,50750.2
1300144,2020,260.1,50490.1
1300201,2014,0.7,58186.2
1300201,2015,0.1,74613.8
1300201,2016,1.0,67549.3
1300201,2017,1.3,79265.5
1300201,2018,0.7,71430.4
1300201,2019,2.7,79222.9
1300201,2020,1.0,79148.8
1300300,2014,14.5,3943.2
1300300,2015,23.2,4836.4
1300300,2016,6.3,80.9
1300300,2017,20.2,4811.8
1300300,2018,14.1,4786.5
1300300,2019,35.0,4776.3
1300300,2020,23.0,4753.3
1300409,2014,1.9,95768.2
1300409,2015,0.3,94926.4
1300409,2016,1.0,80658.9
1300409,2017,1.1,96343.0
1300409,2018,1.2,77743.9
1300409,2019,11.6,94982.2
1300409,2020,1.3,100667.7
1300508,2014,6.2,2750.7
1300508,2015,5.7,3592.4
1300508,2016,1.8,3588.7
1300508,2017,3.5,3571.9
1300508,2018,1.6,2429.7
1300508,2019,3.8,3561.2
1300508,2020,1.5,3582.0
1300607,2014,0.5,6475.9
1300607,2015,1.1,8310.5
1300607,2016,0.4,4355.5
1300607,2017,0.4,7621.7
1300607,2018,0.1,8008.1
1300607,2019,0.9,8743.7
1300607,2020,0.1,8747.1
1300631,2014,2.5,12911.7
1300631,2015,2.5,15152.4
1300631,2016,2.1,15729.5
1300631,2017,1.7,15710.3
1300631,2018,2.1,15693.3
1300631,2019,2.8,15663.3
1300631,2020,3.3,15505.4
1300680,2014,1.8,934.3
1300680,2015,0.5,1121.0
1300680,2016,0.5,1105.5
1300680,2017,0.9,1119.8
1300680,2018,0.6,986.6
1300680,2019,1.1,1117.6
1300680,2020,0.6,1117.5
1300706,2014,66.2,19645.1
1300706,2015,47.5,20062.2
1300706,2016,90.7,20001.8
1300706,2017,91.2,19850.6
1300706,2018,114.3,18884.6
1300706,2019,148.1,19642.2
1300706,2020,147.6,19494.2
1300805,2014,2.4,35924.9
1300805,2015,4.2,41021.9
1300805,2016,1.6,27117.9
1300805,2017,3.5,40642.2
1300805,2018,4.2,41395.7
1300805,2019,11.3,41308.5
1300805,2020,12.3,41446.8
1300839,2014,1.3,8592.4
1300839,2015,3.7,8498.3
1300839,2016,0.7,6294.2
1300839,2017,1.2,8691.6
1300839,2018,0.9,8436.9
1300839,2019,1.3,8658.0
1300839,2020,2.6,8616.6
1300904,2014,16.2,27833.2
1300904,2015,14.5,27711.9
1300904,2016,26.7,27913.3
1300904,2017,28.4,27884.9
1300904,2018,45.2,26458.3
1300904,2019,60.6,27779.0
1300904,2020,62.9,27716.2
1301001,2014,1.1,25649.9
1301001,2015,0.3,25741.3
1301001,2016,1.2,24432.0
1301001,2017,0.5,25759.7
1301001,2018,1.9,24862.5
1301001,2019,0.6,25598.1
1301001,2020,1.5,25755.4
1301100,2014,0.5,3449.8
1301100,2015,5.1,4598.7
1301100,2016,1.5,3071.1
1301100,2017,1.8,4596.9
1301100,2018,0.9,4565.1
1301100,2019,2.6,4419.5
1301100,2020,4.4,4564.9
1301159,2014,3.7,683.7
1301159,2015,9.5,691.4
1301159,2016,8.3,469.2
1301159,2017,7.0,729.0
1301159,2018,4.2,662.8
1301159,2019,11.8,726.4
1301159,2020,7.1,718.3
1301209,2014,3.4,50445.9
1301209,2015,0.7,54119.8
1301209,2016,3.3,50046.6
1301209,2017,2.1,54445.2
1301209,2018,2.0,51212.0
1301209,2019,3.7,52954.4
1301209,2020,4.0,53382.5
1301308,2014,3.0,16414.0
1301308,2015,1.0,15996.1
1301308,2016,1.1,16376.6
1301308,2017,1.4,16485.0
1301308,2018,2.0,16111.2
1301308,2019,2.5,16480.5
1301308,2020,1.3,16450.1
1301407,2014,3.3,14866.8
1301407,2015,0.1,14362.8
1301407,2016,1.8,14634.8
1301407,2017,3.0,14828.6
1301407,2018,4.2,14813.8
1301407,2019,3.7,14654.4
1301407,2020,3.3,14856.7
1301506,2014,17.6,7412.8
1301506,2015,5.4,7285.1
1301506,2016,4.6,7411.5
1301506,2017,13.7,7415.8
1301506,2018,12.5,7411.4
1301506,2019,14.2,7384.8
1301506,2020,31.8,7365.2
1301605,2014,1.7,6504.4
1301605,2015,0.8,10247.0
1301605,2016,1.5,9079.9
1301605,2017,0.7,10489.9
1301605,2018,0.1,11254.9
1301605,2019,0.7,9086.4
1301605,2020,0.0,10631.6
1301654,2014,1.8,7278.9
1301654,2015,4.7,7120.9
1301654,2016,6.0,5048.2
1301654,2017,6.1,7267.7
1301654,2018,12.4,7257.0
1301654,2019,20.0,7237.0
1301654,2020,25.8,7193.8
1301704,2014,13.5,24185.1
1301704,2015,9.1,28798.5
1301704,2016,17.6,28782.3
1301704,2017,35.3,27334.8
1301704,2018,48.6,28693.5
1301704,2019,89.7,28608.8
1301704,2020,109.5,28499.2
1301803,2014,1.1,12227.1
1301803,2015,4.5,11208.7
1301803,2016,5.0,12154.8
1301803,2017,2.8,12216.1
1301803,2018,7.6,12205.0
1301803,2019,8.2,12200.4
1301803,2020,8.7,12191.7
1301852,2014,2.8,1293.6
1301852,2015,3.7,1300.8
1301852,2016,1.6,1261.3
1301852,2017,2.0,1293.6
1301852,2018,1.2,1181.5
1301852,2019,0.8,618.4
1301852,2020,2.2,1272.7
1301902,2014,7.9,4126.7
1301902,2015,6.0,4554.5
1301902,2016,8.0,4267.9
1301902,2017,15.4,4484.8
1301902,2018,5.0,3548.2
1301902,2019,14.1,4627.3
1301902,2020,10.3,4617.6
1301951,2014,3.2,24572.2
1301951,2015,1.0,23167.1
1301951,2016,0.6,25256.6
1301951,2017,1.1,25036.4
1301951,2018,0.9,24940.8
1301951,2019,1.0,25591.6
1301951,2020,1.3,25609.4
1302009,2014,0.8,906.9
1302009,2015,0.8,3587.9
1302009,2016,0.0,3274.7
1302009,2017,1.2,3743.1
1302009,2018,0.2,0.0
1302009,2019,0.9,3774.6
1302009,2020,0.2,3757.1
1302108,2014,0.6,39175.5
1302108,2015,0.0,39478.5
1302108,2016,0.3,39883.8
1302108,2017,0.7,52094.3
1302108,2018,1.1,41803.2
1302108,2019,0.5,46869.4
1302108,2020,2.3,50495.0
1302207,2014,3.4,16125.5
1302207,2015,0.2,17497.5
1302207,2016,0.9,15891.9
1302207,2017,0.6,18752.5
1302207,2018,1.5,17842.0
1302207,2019,0.4,17618.4
1302207,2020,0.8,18705.2
1302306,2014,2.6,64662.6
1302306,2015,1.1,66680.6
1302306,2016,1.7,65068.6
1302306,2017,12.7,70093.6
1302306,2018,1.0,62852.1
1302306,2019,12.2,67204.4
1302306,2020,7.5,70011.5
1302405,2014,135.5,62725.2
1302405,2015,242.6,63055.9
1302405,2016,317.0,63256.3
1302405,2017,283.7,62973.4
1302405,2018,325.8,62041.1
1302405,2019,390.2,62257.5
1302405,2020,391.6,61825.0
1302504,2014,3.5,3915.9
1302504,2015,7.9,4345.9
1302504,2016,4.2,4289.5
1302504,2017,2.5,4328.1
1302504,2018,2.0,4226.9
1302504,2019,4.9,3578.7
1302504,2020,10.9,4237.4
1302553,2014,0.1,2697.7
1302553,2015,3.1,3109.1
1302553,2016,0.9,3106.3
1302553,2017,1.0,3107.1
1302553,2018,0.5,3104.4
1302553,2019,1.5,2713.5
1302553,2020,2.0,3083.9
1302603,2014,2.1,7540.6
1302603,2015,1.8,8619.2
1302603,2016,1.2,7129.6
1302603,2017,2.1,8590.1
1302603,2018,1.4,6975.4
