geocodigo,var,kwh_total,n_uc_total,superficies_hidrica_ha,urban_area_ha,fires_ha,temp_urbana_c,pop,df_km2,pib_rpt_2020
1504752,pop,0.9509315265586423,0.9758440835288467,-0.21696488388225135,-0.38242992882932386,-0.33101697628840043,-0.7386683632188923,1.0,,-0.07981534004198072
1504752,df_km2,,,,,,,,,
1504752,pib_rpt_2020,-0.1045469641142454,-0.12431514507903568,0.5144648944549403,-0.5050059856721656,0.9147786252158993,-0.5491843865243891,-0.07981534004198072,,1.0
1504802,kwh_total,1.0,0.7449141601125222,-0.21945506914023025,0.21287368077046318,-0.42925512810246547,-0.10059729430834358,0.42964183464354433,-0.1078053394605514,0.7182698222413902
1504802,n_uc_total,0.7449141601125222,1.0,-0.3207185119453382,0.39742576440906385,-0.26816908683452195,-0.7220983699621162,0.8861735634088725,0.15806999577722503,0.47986549705856596
1504802,superficies_hidrica_ha,-0.21945506914023025,-0.3207185119453382,1.0,-0.9073732240002265,0.19558357053661574,0.25085906377144546,-0.20522313898475159,-0.7414236268896671,-0.1735364767959406
1504802,urban_area_ha,0.21287368077046318,0.39742576440906385,-0.9073732240002265,1.0,-0.016543234526233474,-0.419015005004654,0.37276500059818346,0.5118264519575199,0.2667564312743091
1504802,fires_ha,-0.42925512810246547,-0.26816908683452195,0.19558357053661574,-0.016543234526233474,1.0,-0.09063435725825841,-0.13324357415974664,-0.10749738027485962,-0.5573945716300917
1504802,temp_urbana_c,-0.10059729430834358,-0.7220983699621162,0.25085906377144546,-0.419015005004654,-0.09063435725825841,1.0,-0.9260323299391409,-0.33866854854725825,0.05822097761855386
1504802,pop,0.42964183464354433,0.8861735634088725,-0.20522313898475159,0.37276500059818346,-0.13324357415974664,-0.9260323299391409,1.0,0.1945601307939548,0.20927315329316196
1504802,df_km2,-0.1078053394605514,0.15806999577722503,-0.7414236268896671,0.5118264519575199,-0.10749738027485962,-0.33866854854725825,0.1945601307939548,1.0,-0.41494428907247777
1504802,pib_rpt_2020,0.7182698222413902,0.47986549705856596,-0.1735364767959406,0.2667564312743091,-0.5573945716300917,0.05822097761855386,0.20927315329316196,-0.41494428907247777,1.0
1504901,kwh_total,1.0,0.29922577629932223,-0.21617037017029606,-0.00888661682252086,-0.5954560341899156,-0.34094614806561335,0.20481679465315228,0.6620969246193565,0.1984967722607969
1504901,n_uc_total,0.29922577629932223,1.0,-0.577658369392163,-0.26019631459558135,-0.6318241245019548,0.31717037908947127,0.9787293276327134,0.4089437607289627,0.9462449734205517
1504901,superficies_hidrica_ha,-0.21617037017029606,-0.577658369392163,1.0,-0.12925448616494212,0.1051409564519538,-0.6796963102507672,-0.5608149993312304,-0.508001115171313,-0.6041674549689835
1504901,urban_area_ha,-0.00888661682252086,-0.26019631459558135,-0.12925448616494212,1.0,0.6693108303931921,0.23262722393239313,-0.37181099021581815,-0.20646016974089773,-0.2667691610453847
1504901,fires_ha,-0.5954560341899156,-0.6318241245019548,0.1051409564519538,0.6693108303931921,1.0,0.371885091136957,-0.6754598008721446,-0.5524242839097442,-0.47367242044625235
1504901,temp_urbana_c,-0.34094614806561335,0.31717037908947127,-0.6796963102507672,0.23262722393239313,0.371885091136957,1.0,0.28246484579830494,-0.2480799834925002,0.42417991648154985
1504901,pop,0.20481679465315228,0.9787293276327134,-0.5608149993312304,-0.37181099021581815,-0.6754598008721446,0.28246484579830494,1.0,0.40879983013856547,0.9049718908084025
1504901,df_km2,0.6620969246193565,0.4089437607289627,-0.508001115171313,-0.20646016974089773,-0.5524242839097442,-0.2480799834925002,0.40879983013856547,1.0,0.4059684761741153
1504901,pib_rpt_2020,0.1984967722607969,0.9462449734205517,-0.6041674549689835,-0.2667691610453847,-0.47367242044625235,0.42417991648154985,0.9049718908084025,0.4059684761741153,1.0
1504950,kwh_total,1.0,0.35636313126270647,-0.45517656075410046,0.1303165266868282,0.705313720653291,0.5861577722348174,-0.391501120537531,-0.46616819144822874,0.24053606669749683
1504950,n_uc_total,0.35636313126270647,1.0,0.36539801796399957,-0.19552994324967998,-0.09575013842773356,-0.18260526273023736,0.6796492431397587,-0.6316965437556852,0.9386030601265325
1504950,superficies_hidrica_ha,-0.45517656075410046,0.36539801796399957,1.0,-0.15928987818629545,-0.40708841794582235,-0.16825461222634205,0.6007711052246134,-0.02528383697296855,0.6203343717823646
1504950,urban_area_ha,0.1303165266868282,-0.19552994324967998,-0.15928987818629545,1.0,0.7137501049036844,0.40988669168274144,-0.21398391501775918,-0.5255515655784027,-0.08959121523043158
1504950,fires_ha,0.705313720653291,-0.09575013842773356,-0.40708841794582235,0.7137501049036844,1.0,0.8264734294905205,-0.6319706982761578,-0.4760104950264561,-0.05849879560726214
1504950,temp_urbana_c,0.5861577722348174,-0.18260526273023736,-0.16825461222634205,0.40988669168274144,0.8264734294905205,1.0,-0.7070452333971806,-0.043983773876561924,-0.08291548857768678
1504950,pop,-0.391501120537531,0.6796492431397587,0.6007711052246134,-0.21398391501775918,-0.6319706982761578,-0.7070452333971806,1.0,-0.299954974738111,0.6786801915655816
1504950,df_km2,-0.46616819144822874,-0.6316965437556852,-0.02528383697296855,-0.5255515655784027,-0.4760104950264561,-0.043983773876561924,-0.299954974738111,1.0,-0.6262740385925791
1504950,pib_rpt_2020,0.24053606669749683,0.9386030601265325,0.6203343717823646,-0.08959121523043158,-0.05849879560726214,-0.08291548857768678,0.6786801915655816,-0.6262740385925791,1.0
1504976,kwh_total,1.0,-0.8313326426628944,-0.36066133414301965,0.4493309648228052,0.7072152438355451,0.2402336720168022,-0.8776964157775233,-0.6560171730777281,-0.7186933895290756
1504976,n_uc_total,-0.8313326426628944,1.0,0.2105265377415851,-0.44579675988003775,-0.37577195104190064,-0.06411116100970511,0.8927705951231153,0.5527241382624553,0.706252458596363
1504976,superficies_hidrica_ha,-0.36066133414301965,0.2105265377415851,1.0,-0.40759955614147103,-0.7306971554617531,-0.49879410101458044,-0.051379311852444674,-0.32970113102600107,-0.32522707105546433
1504976,urban_area_ha,0.4493309648228052,-0.44579675988003775,-0.40759955614147103,1.0,0.5901388976512312,-0.3150393503063496,-0.3640024253385894,-0.15368199084263673,-0.09483301487879196
1504976,fires_ha,0.7072152438355451,-0.37577195104190064,-0.7306971554617531,0.5901388976512312,1.0,0.490988152087934,-0.3166732092072577,-0.17875403412385218,-0.12479236685840599
1504976,temp_urbana_c,0.2402336720168022,-0.06411116100970511,-0.49879410101458044,-0.3150393503063496,0.490988152087934,1.0,0.10786298324061225,0.14125729407158305,0.08894575673148118
1504976,pop,-0.8776964157775233,0.8927705951231153,-0.051379311852444674,-0.3640024253385894,-0.3166732092072577,0.10786298324061225,1.0,0.8136674131590769,0.9091391706493677
1504976,df_km2,-0.6560171730777281,0.5527241382624553,-0.32970113102600107,-0.15368199084263673,-0.17875403412385218,0.14125729407158305,0.8136674131590769,1.0,0.9579059178274075
1504976,pib_rpt_2020,-0.7186933895290756,0.706252458596363,-0.32522707105546433,-0.09483301487879196,-0.12479236685840599,0.08894575673148118,0.9091391706493677,0.9579059178274075,1.0
1505007,kwh_total,1.0,0.8982846961384323,-0.7987384378138117,-0.47414895955755215,-0.9285068026396421,-0.31129259175204904,0.9282986623134828,0.16062556640466932,0.8755733961293347
1505007,n_uc_total,0.8982846961384323,1.0,-0.827222818337781,-0.3712437432331831,-0.8814451302472566,-0.5267548828392514,0.9820065938118907,-0.05795553813872434,0.7649141813707298
1505007,superficies_hidrica_ha,-0.7987384378138117,-0.827222818337781,1.0,0.34634665982658935,0.7479018081688313,0.46431540269676824,-0.8882496946306387,0.4441613629858992,-0.4677083597753439
1505007,urban_area_ha,-0.47414895955755215,-0.3712437432331831,0.34634665982658935,1.0,0.7068919851184073,0.6885440885014511,-0.3878848460977307,0.030171828939186483,-0.4878682942571802
1505007,fires_ha,-0.9285068026396421,-0.8814451302472566,0.7479018081688313,0.7068919851184073,1.0,0.6096782391292749,-0.8913129379088957,-0.05954761535593407,-0.8551989224162241
1505007,temp_urbana_c,-0.31129259175204904,-0.5267548828392514,0.46431540269676824,0.6885440885014511,0.6096782391292749,1.0,-0.49343809645803,0.48377501686287566,-0.24543316449721686
1505007,pop,0.9282986623134828,0.9820065938118907,-0.8882496946306387,-0.3878848460977307,-0.8913129379088957,-0.49343809645803,1.0,-0.11597939590540518,0.7234785045035185
1505007,df_km2,0.16062556640466932,-0.05795553813872434,0.4441613629858992,0.030171828939186483,-0.05954761535593407,0.48377501686287566,-0.11597939590540518,1.0,0.5172518942586014
1505007,pib_rpt_2020,0.8755733961293347,0.7649141813707298,-0.4677083597753439,-0.4878682942571802,-0.8551989224162241,-0.24543316449721686,0.7234785045035185,0.5172518942586014,1.0
1505031,kwh_total,1.0,0.9424335386847035,0.6943108048947103,0.5247351689183429,0.6107143143138082,-0.7973346280503106,0.6830795295757016,0.52848477878249,0.9597280097013243
1505031,n_uc_total,0.9424335386847035,1.0,0.8741167847885185,0.5796319332952371,0.7572368164756266,-0.6850857341314612,0.7934936211463205,0.6299367092989843,0.9695446107917411
